,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,Index of Multiple Deprivation Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60+,WorkPop,priority_places_for_food_oct22_domain_supermarket_proximity,priority_places_for_food_oct22_domain_supermarket_accessibility,priority_places_for_food_oct22_domain_ecommerce_access,priority_places_for_food_oct22_domain_socio_demographic,priority_places_for_food_oct22_domain_nonsupermarket_proximity,priority_places_for_food_oct22_domain_food_for_families,priority_places_for_food_oct22_domain_fuel_poverty,priority_places_for_food_oct22_country,priority_places_for_food_oct22_country_denominator,priority_places_for_food_oct22_combined,Priority Places for Food Index: Supermarket proximity decile,Priority Places for Food Index: Supermarket accessibility decile,Priority Places for Food Index: Online supermarket delivery access decile,Priority Places for Food Index: Socio-demographic determinants of food insecurity decile,Priority Places for Food Index: Non-supermarket food retail proximity decile,Priority Places for Food Index: Need for further food support decile,Priority Places for Food Index: Fuel poverty decile,Priority Places for Food Index: Overall decile,AHAH_V3_0_ah3gp,AHAH_V3_0_ah3dent,AHAH_V3_0_ah3phar,AHAH_V3_0_ah3hosp,AHAH_V3_0_ah3blue,AHAH_V3_0_ah3gpas,AHAH_V3_0_ah3ffood,AHAH_V3_0_ah3gamb,AHAH_V3_0_ah3leis,AHAH_V3_0_ah3pubs,AHAH_V3_0_ah3tob,AHAH_V3_0_ah3no2,AHAH_V3_0_ah3so2,AHAH_V3_0_ah3pm10,AHAH_V3_0_ah3gp_rnk,AHAH_V3_0_ah3dent_rnk,AHAH_V3_0_ah3phar_rnk,AHAH_V3_0_ah3hosp_rnk,AHAH_V3_0_ah3leis_rnk,AHAH_V3_0_ah3gpas_rnk,AHAH_V3_0_ah3blue_rnk,AHAH_V3_0_ah3no2_rnk,AHAH_V3_0_ah3so2_rnk,AHAH_V3_0_ah3pm10_rnk,AHAH_V3_0_ah3gamb_rnk,AHAH_V3_0_ah3pubs_rnk,AHAH_V3_0_ah3tob_rnk,AHAH_V3_0_ah3ffood_rnk,AHAH_V3_0_ah3gp_pct,AHAH_V3_0_ah3dent_pct,AHAH_V3_0_ah3phar_pct,AHAH_V3_0_ah3hosp_pct,AHAH_V3_0_ah3leis_pct,AHAH_V3_0_ah3gpas_pct,AHAH_V3_0_ah3blue_pct,AHAH_V3_0_ah3no2_pct,AHAH_V3_0_ah3so2_pct,AHAH_V3_0_ah3pm10_pct,AHAH_V3_0_ah3gamb_pct,AHAH_V3_0_ah3pubs_pct,AHAH_V3_0_ah3tob_pct,AHAH_V3_0_ah3ffood_pct,AHAH_V3_0_ah3h,AHAH_V3_0_ah3g,AHAH_V3_0_ah3e,AHAH_V3_0_ah3r,AHAH_V3_0_ah3h_rnk,AHAH_V3_0_ah3g_rnk,AHAH_V3_0_ah3e_rnk,AHAH_V3_0_ah3r_rnk,AHAH_V3_0_ah3h_pct,AHAH_V3_0_ah3g_pct,AHAH_V3_0_ah3e_pct,AHAH_V3_0_ah3r_pct,AHAH_V3_0_ah3ahah,AHAH_V3_0_ah3ahah_rn,AHAH_V3_0_ah3ahah_pc,LSOA,Researcher initials (first),Coder initials (first),Date of data coding,Number of Images taken in the LSOA,Number of unique images taken in the LSOA,Number of dates photos taken across LSOA,Number of unique adverts in the LSOA,Number of unique advertising assets in the LSOA,Most common Advertising asset type in the LSOA,Number of different Advertising asset types in the LSOA,List of all the different Advertising asset types in the LSOA,Most common advert size in the LSOA,Number of different advert sizes in the LSOA,Number of different advertised product types in the LSOA,List of all the different Advertised product types in the LSOA,Number of different Products advertised in the LSOA,Most common Brand advertised in the LSOA,Number of different Brand advertised in the LSOA,List of all the different Brand advertised in the LSOA,Number of Products advertised with a price in the LSOA,Total price of Products advertised in the LSOA,Mean price of Products advertised in the LSOA,"Number of Products  with Fruit, Veg and Nut measure","Average percentage of products made up of fruit, vegetables and/or nuts across adverts in the LSOA",Count of adverts with a NPM status of fail,Count of adverts with a NPM status of pass,Count of adverts compliant with proposed healthy advertising policy restrictions,Count of adverts non-compliant with proposed healthy advertising policy restrictions
55,E01011324,Leeds 046A,Leeds 046A,599206.870119,4134.504619852704,2032,1,Leeds 046A,E08000035,Leeds,50.956,2032,1,0.26,3592,2,0.141,7406,3,82.306,210,1,1.649,977,1,1.316,1689,1,20.737,15787,5,32.008,7703,3,0.546,134,1,0.532,448,1,1.935,193,1,0.541,957,1,0.042,14957,5,0.792,11427,4,0.58,8177,3,0.621,7218,3,2163,370,1691,102,1596.25,25039,19728,6523,1980,19608,5443,182,E,32843,3060,8,7,2,1,6,2,1,1,2.8163,4.6795,2.8529,2.8163,1.2005,0.551807344,2.579,3.8557,3.172,2.7827,3.8557,16.24408,2.1788503333333336,13.994076666666666,18301,29041,24517,18608,11534,5716,3788,30396,37544,21359,18655,21120,28213,21402,43,69,58,44,27,13,9,72,89,51,44,50,67,51,-0.030065662712270947,-1.2150555756278576,0.6391665226220664,0.09280612473585696,20634,1336,32063,22326,50,4,77,54,16.521272651187125,13212,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,E01011325,Leeds 046B,Leeds 046B,1386053.8269445,7480.995577435641,7939,3,Leeds 046B,E08000035,Leeds,30.184,7939,3,0.153,10261,4,0.13,8559,3,29.668,8708,3,0.679,7083,3,1.176,2372,1,8.762,29713,10,34.704,6371,2,0.155,13615,5,0.145,14576,5,0.635,7216,3,0.352,10546,4,-0.562,24962,8,-0.864,19924,7,0.806,5629,2,0.325,10428,4,1489,288,930,271,951.0,17723,13713,18356,10842,15364,8217,13687,E,32843,4908,6,5,6,4,5,3,5,2,3.2152,2.5855,3.2302,3.2152,2.0544,0.424410239,2.29625,3.3207,5.3948,2.2875,3.3207,16.680860000000003,2.2514124,13.621602,21121,17582,27213,20995,20614,22684,8972,31236,38263,19603,21459,24846,30629,23236,50,42,65,50,49,54,21,74,91,46,51,59,73,55,0.040133722895632606,-0.33986334471949736,0.6595667816865052,0.2612430941414091,22183,12117,32364,25658,54,30,78,62,19.928439470951204,21054,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,E01011326,Leeds 046C,Leeds 046C,232143.997855,3105.317041591767,1289,1,Leeds 046C,E08000035,Leeds,56.465,1289,1,0.32,1664,1,0.215,2474,1,59.856,1752,1,1.526,1372,1,1.638,700,1,14.587,23549,8,39.254,4518,2,0.438,834,1,0.345,3173,1,1.524,961,1,0.452,3942,2,-0.277,20527,7,0.146,14431,5,0.887,4837,2,0.59,7508,3,1404,334,817,253,803.5,20192,16904,8458,3100,21183,6991,3332,E,32843,2560,7,6,3,1,7,3,2,1,2.4825,3.1455,2.4825,2.4825,2.5385,0.452425301,1.0625,2.7897,4.5953,1.795,2.7897,16.5182175,2.32887225,13.70985,15725,21601,21344,16273,17754,17686,12066,30926,38941,20006,24718,29086,33079,34531,37,51,51,38,42,42,28,74,93,47,59,70,79,83,-0.14164764997169393,-0.3740180703885151,0.6983327585827754,0.6273746148080169,18256,11390,32834,31822,44,28,79,77,21.7095042542835,24690,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,E01011327,Leeds 052A,Leeds 052A,714193.43886,6531.569827571315,6186,2,Leeds 052A,E08000035,Leeds,34.202,6186,2,0.19,7295,3,0.178,4410,2,28.917,9011,3,0.865,5323,2,1.032,3285,2,16.227,21385,7,21.068,14513,5,0.236,7706,3,0.192,10593,4,0.523,8558,3,0.364,9537,3,0.045,14901,5,-0.37,17184,6,0.159,14002,5,0.289,10902,4,1341,242,869,230,874.5,9406,8166,18356,9036,12649,9216,12760,E,32843,2197,3,3,6,3,4,3,4,1,4.6451,2.8761,3.3013,2.22,0.3625,0.425164938,4.3695,4.944,7.0256,4.3695,4.944,16.070272,1.9691706,13.627109999999998,28325,19753,27634,14254,25147,22561,358,30028,34962,19640,14571,13061,24008,13838,67,47,66,34,60,54,0,71,83,47,34,31,57,33,0.13357602252647688,-1.1408787204031008,0.49783392050987335,-0.28013219916094306,24162,1739,29910,15021,58,5,72,36,14.707391813492752,8953,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,E01011328,Leeds 052B,Leeds 052B,440183.426359,3904.978290530714,6669,3,Leeds 052B,E08000035,Leeds,33.003,6669,3,0.193,7124,3,0.139,7589,3,35.859,6488,2,0.719,6691,3,1.252,1964,1,8.791,29691,10,27.73,10119,4,0.249,6974,3,0.246,7150,3,0.748,5977,2,0.394,7216,3,-0.548,24758,8,-0.884,20038,7,0.501,9158,3,0.332,10338,4,1505,302,899,304,909.5,21294,16643,8458,8506,28025,9120,9573,E,32843,7922,7,6,3,3,9,3,3,3,4.0428,4.6795,2.7853,1.514,3.3121,0.430630356,3.2143,6.1243,5.9446,3.2566,6.1855,17.6940825,2.19826575,14.08323,25704,29041,23979,7983,22360,21608,16565,32927,37736,21813,11868,18200,20144,18045,61,69,57,19,53,51,39,78,90,52,28,43,48,43,0.04251455129118957,-0.10829630221683434,0.7221896226283299,-0.23603679530526678,22232,17389,33143,15818,54,42,80,38,18.84374875063036,18658,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,E01011329,Leeds 051B,Leeds 051B,342111.041273,3670.509912803202,21178,7,Leeds 051B,E08000035,Leeds,12.88,21178,7,0.057,24341,8,0.048,25246,8,8.812,23065,8,-0.247,19818,7,0.719,6295,2,9.573,29004,9,36.81,5456,2,0.07,23902,8,0.088,21940,7,-0.483,23687,8,0.257,20907,7,-0.187,19034,6,-1.681,24316,8,0.764,6059,2,0.669,6763,3,1451,188,899,364,913.75,17435,11123,18356,20966,18889,8526,17259,E,32843,9419,6,4,6,7,6,3,6,3,2.5836,1.17575,2.0275,2.145,1.6814,0.386927307,2.4089,2.6501,4.8257,2.179,2.6501,18.517290000000003,2.356347,13.56277,16547,4928,16641,13617,18605,28824,6653,34125,39164,19300,25698,25767,33737,22452,39,11,39,32,44,69,15,81,93,46,61,62,80,54,-0.4579611955404336,-0.24945789210744962,0.7850664192240204,0.3902750429113286,12159,14099,33921,27914,30,34,82,67,19.813715310647396,20810,50,E01011329,IW,IW,1.0,8.0,8.0,1.0,8.0,8.0,[ 2. 11.],4.0,[11.  2.  1.  6.],1.0,2.0,2.0,[nan  5.  3.],4.0,Metro,3.0,[nan 'Metro' 'strongbow' 'Vaperz-r-us'],0.0,0.0,,0.0,,,,,
61,E01011330,Leeds 051C,Leeds 051C,561931.299866,4693.086775278743,6794,3,Leeds 051C,E08000035,Leeds,32.712,6794,3,0.184,7769,3,0.139,7544,3,27.792,9485,3,0.575,8235,3,1.156,2490,1,14.988,23041,8,39.918,4285,2,0.284,5102,2,0.161,13053,4,0.508,8746,3,0.355,10336,4,0.106,13824,5,-0.989,20671,7,0.88,4911,2,0.683,6649,3,1280,253,746,281,742.0,5657,8573,8458,10000,14502,9040,9478,E,32843,828,2,3,3,4,5,3,3,1,3.5426,2.3068,2.6076,2.5976,0.912,0.443878025,3.2075,3.6091,5.7847,3.306,3.6091,16.9819175,2.264063,13.56277,23151,15329,22466,17086,21876,19227,2237,31741,38368,19300,19890,17925,29360,18083,55,36,53,40,52,46,5,76,91,46,47,43,70,43,-0.05461378949848792,-0.8547489973170518,0.6718471228359042,0.0326702896319278,20098,4064,32506,21079,49,10,78,51,16.68346766352001,13598,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,E01011331,Leeds 058A,Leeds 058A,223194.9092835,3109.7250313261557,6072,2,Leeds 058A,E08000035,Leeds,34.47,6072,2,0.13,12546,4,0.115,10335,4,22.479,12252,4,0.645,7434,3,1.811,404,1,2.905,32619,10,66.115,232,1,0.164,12846,4,0.214,9032,3,0.515,8662,3,0.292,16816,6,-1.112,30569,10,-2.366,27316,9,1.774,483,1,0.589,7527,3,1275,217,783,275,779.0,28640,24073,18356,11019,23436,7559,12155,E,32843,15083,9,8,6,4,8,3,4,5,1.5443,2.2275,1.5443,0.9125,3.23375,0.364602894,0.9125,1.2172,3.3928,0.74,1.2172,17.198349999999998,2.2109615,13.78363,7280,14646,10799,2511,12602,31713,16155,32153,37852,20381,37202,38490,39858,36199,17,35,25,6,30,75,38,77,90,48,89,92,95,87,-0.8077371840137847,0.2096868651280809,0.6781403947779392,1.3668067875983723,6936,25590,32597,39136,17,62,79,94,29.80328707359839,34939,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,E01011332,Leeds 046D,Leeds 046D,234737.9863455,2989.5631119053855,1399,1,Leeds 046D,E08000035,Leeds,55.539,1399,1,0.309,1977,1,0.217,2387,1,64.94,1197,1,1.515,1410,1,1.511,1026,1,15.032,22966,7,34.456,6494,2,0.47,511,1,0.227,8207,3,1.764,391,1,0.443,4332,2,-0.199,19240,6,0.077,14802,5,0.697,6814,3,0.602,7416,3,1323,330,769,224,754.75,26231,18497,8458,2706,20344,6230,1719,E,32843,4026,8,6,3,1,7,2,1,2,1.975,3.7255,1.61,1.975,2.3857,0.481943592,1.79,2.4997,3.4412,2.3625,2.4997,17.44781,2.402178,13.70985,11364,24967,11588,12125,12843,12843,11129,32497,39513,20006,26787,24256,34425,27249,27,59,27,29,30,30,26,77,94,47,64,58,82,65,-0.40011668864846917,-0.5625403502498105,0.777239304381174,0.474129078731961,13214,7981,33830,29335,32,20,82,71,19.425690721608213,19977,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,E01011333,Leeds 051D,Leeds 051D,251550.997976,3415.339244301618,7397,3,Leeds 051D,E08000035,Leeds,31.297,7397,3,0.177,8281,3,0.137,7807,3,36.765,6250,2,0.777,6120,2,0.87,4687,2,6.556,31226,10,31.874,7788,3,0.205,9720,3,0.206,9564,3,0.722,6260,2,0.407,6338,2,-0.734,27240,9,-1.263,22198,7,0.62,7701,3,0.512,8291,3,1263,235,727,301,744.75,10465,24663,8458,8842,21912,9366,7225,E,32843,4763,4,8,3,3,7,3,3,2,4.1201,2.677,0.6905,0.808,2.5982,0.413143992,1.9465,4.1866,6.0524,3.7392,4.1866,17.91223,2.169345,14.072886666666667,26093,18268,1476,1819,22669,24630,12406,33263,37439,21753,17202,15713,26836,25903,62,43,3,4,54,59,29,79,89,52,41,37,64,62,-0.64930773366764,-0.15204743289936426,0.716785516873007,0.034425865064682565,9088,16335,33079,21119,22,40,80,51,16.951221738725987,14221,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,E01011334,Leeds 058B,Leeds 058B,219997.4982475,4220.519552091692,3450,2,Leeds 058B,E08000035,Leeds,43.106,3450,2,0.174,8502,3,0.134,8100,3,48.405,3528,2,0.917,4890,2,1.879,321,1,8.621,29850,10,67.657,157,1,0.259,6431,2,0.187,10984,4,1.435,1237,1,0.365,9443,3,-0.472,23627,8,-1.109,21318,7,1.807,442,1,0.674,6704,3,1358,236,918,204,913.25,28581,27546,18356,8122,21620,8189,6438,E,32843,14354,9,9,6,3,7,3,2,5,2.4668,1.3625,2.4668,1.15,4.325,0.327301562,0.6175,2.1397,3.6699,1.6625,2.1397,17.436,2.2112383333333336,14.01782,15590,6616,21188,4477,13870,35013,22114,32481,37854,21478,29559,30274,36051,39055,37,15,50,10,33,83,52,77,90,51,70,72,86,93,-0.5955961598354182,0.5328183096551806,0.7089302770931517,0.9417877253924267,9888,32982,32985,35728,24,80,80,86,29.67900398545058,34846,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,E01011335,Leeds 052C,Leeds 052C,393405.331703,5266.31119249695,10813,4,Leeds 052C,E08000035,Leeds,24.914,10813,4,0.136,11906,4,0.092,13949,5,31.105,8136,3,0.291,11749,4,0.72,6281,2,6.82,31077,10,42.571,3516,2,0.197,10274,4,0.2,9959,4,0.693,6568,2,0.357,10154,4,-0.743,27337,9,-1.165,21607,7,0.854,5131,2,0.991,4190,2,1667,281,1086,300,1090.25,23465,25140,18356,11374,29565,9295,14178,E,32843,17646,8,8,6,4,10,3,5,6,3.2109,3.5025,2.0837,1.3821,4.3725,0.305027723,1.4349,4.7741,5.0664,2.1168,4.7741,17.6940825,2.19826575,14.08323,21085,23830,17257,6703,19513,36366,22359,32927,37736,21813,15084,26303,24620,30570,50,57,41,16,46,87,53,78,90,52,36,63,59,73,-0.21987980140662292,0.6116117146059782,0.7221896226283299,0.2065652086104865,16640,34488,33143,24566,40,83,80,59,26.417296939298478,31710,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,E01011336,Leeds 058C,Leeds 058C,297750.1491290001,3352.6197309416707,1019,1,Leeds 058C,E08000035,Leeds,58.939,1019,1,0.284,2742,1,0.224,2098,1,63.155,1377,1,2.095,256,1,1.72,531,1,15.274,22654,7,38.562,4774,2,0.346,2748,1,0.325,3756,2,1.643,633,1,0.453,3865,2,-0.31,21061,7,0.403,13221,5,0.813,5561,2,0.723,6285,2,1466,248,808,410,825.5,29857,21302,955,2638,23116,6938,9396,E,32843,8949,10,7,1,1,8,3,3,3,1.9537,2.4805,2.4625,1.105,4.4558,0.415308535,0.935,1.369,2.1349,1.2997,1.8197,17.198349999999998,2.2109615,13.78363,11179,16764,21151,4086,6572,24287,22779,32153,37852,20381,35987,33682,37533,35934,26,40,50,9,15,58,54,77,90,48,86,81,89,86,-0.6298764526626096,0.16112660051480437,0.6781403947779392,1.0805548333014527,9371,24326,32597,37027,23,59,79,89,26.839359663179437,32167,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,E01011337,Leeds 058D,Leeds 058D,427006.63139,3874.1859086201207,675,1,Leeds 058D,E08000035,Leeds,62.822,675,1,0.36,875,1,0.253,1218,1,86.986,116,1,1.299,2356,1,1.59,809,1,16.426,21135,7,24.345,12200,4,0.427,997,1,0.37,2550,1,1.818,301,1,0.58,357,1,-0.637,26033,8,1.231,9600,3,0.102,14865,5,0.739,6150,2,1577,544,914,119,871.75,16961,23372,8458,1507,21753,8950,82,E,32843,3147,6,8,3,1,7,3,1,1,3.7933,2.6395,1.535,1.6525,3.9093,0.468151122,1.1625,3.4972,4.6499,2.989,3.4972,17.9736925,2.23605775,13.9040575,24539,17998,10675,9294,17954,15013,19869,33353,38140,20939,20464,19764,29832,33464,58,43,25,22,43,35,47,79,91,50,49,47,71,80,-0.3091451588269575,-0.20948012485647466,0.7363746476447085,0.33148937051392663,14905,14973,33332,26871,36,36,80,65,19.749802826851322,20678,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,E01011338,Leeds 064A,Leeds 064A,207080.2907805,2387.418586194592,1074,1,Leeds 064A,E08000035,Leeds,58.414,1074,1,0.35,1030,1,0.255,1165,1,50.819,3105,1,1.731,800,1,1.186,2316,1,24.575,11554,4,21.747,14011,5,0.366,2198,1,0.404,1791,1,0.581,7852,3,0.531,1181,1,-0.092,17274,6,1.994,6951,3,-0.286,20914,7,0.976,4312,2,1790,524,1046,220,1018.0,23843,11311,955,201,29452,8114,868,E,32843,4793,8,4,1,1,9,3,1,2,1.4725,2.668731343,2.2125,1.1325,3.081724627,0.419421047,2.129981343,2.2575,2.090470149,1.42625,2.547481343,25.618035,2.4289620000000003,16.09424,6561,18209,18684,4340,6380,23585,15237,39666,39652,32241,28632,32496,34206,24420,15,43,44,10,15,56,36,95,95,77,68,78,81,58,-0.7161731156952318,-0.09032910937126684,1.348212265456769,0.5955624397877909,8139,17830,39001,31361,20,43,94,76,26.87340604858082,32193,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,E01011339,Leeds 060A,Leeds 060A,590240.4160175,4678.059468252092,3021,1,Leeds 060A,E08000035,Leeds,45.199,3021,1,0.237,4666,2,0.199,3177,1,48.105,3573,2,0.556,8437,3,1.686,596,1,18.299,18729,6,43.493,3297,2,0.22,8768,3,0.264,6184,2,0.687,6638,3,0.504,1960,1,-0.364,21952,7,1.218,9646,3,0.912,4584,2,0.938,4609,2,1929,470,1018,441,1034.5,27372,20070,955,3367,12567,11650,2524,E,32843,3782,9,7,1,2,4,4,1,2,2.456,2.596,2.456,0.86,8.5045,0.4716959,2.0465,1.9925,2.409,3.4016,4.3365,19.882625,2.694469,14.52233,15485,17684,21080,2140,7917,14416,36172,35891,40753,24080,30801,17377,26232,25080,37,42,50,5,18,34,86,86,97,57,73,41,62,60,-0.6039926991744607,0.35693037079022816,1.0877097978022163,0.25264815023755416,9757,29202,36920,25478,24,70,89,62,25.443715019738967,30606,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,E01011340,Leeds 060B,Leeds 060B,368869.343856,4938.6925230737,1866,1,Leeds 060B,E08000035,Leeds,52.044,1866,1,0.282,2797,1,0.192,3603,2,48.435,3524,2,1.305,2313,1,2.254,70,1,16.595,20931,7,43.899,3178,1,0.336,3044,1,0.333,3505,2,0.833,5151,2,0.487,2511,1,-0.584,25287,8,1.192,9740,3,0.753,6209,2,1.33,2296,1,1673,434,950,289,954.75,27526,17833,955,2530,22439,10589,3581,E,32843,5309,9,6,1,1,7,4,2,2,1.7115,1.404,1.671,1.1813,7.555074627,0.418239206,0.5265,1.5021,2.9965,1.5381,1.9091,20.844484,2.6751784,14.772755999999998,8862,7002,12384,4780,10756,23804,34128,36876,40712,25436,34890,31455,37134,39789,21,16,29,11,25,57,81,88,97,60,83,75,88,95,-0.829604095750543,0.5423108033687886,1.1474601220795047,1.1426462637668655,6645,33157,37443,37523,16,80,90,90,34.84002717740361,37976,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,E01011341,Leeds 061A,Leeds 061A,598260.936796,4626.361016983212,5957,2,Leeds 061A,E08000035,Leeds,34.818,5957,2,0.174,8473,3,0.129,8692,3,27.935,9419,3,0.815,5755,2,1.529,970,1,15.788,21959,7,43.383,3326,2,0.237,7671,3,0.175,11817,4,0.241,12298,4,0.394,7236,3,0.122,13546,5,-0.816,19644,6,0.881,4891,2,1.003,4109,2,1435,309,840,286,834.75,24127,12390,8458,8084,15439,12027,5879,E,32843,3543,8,4,3,3,5,4,2,2,5.874,6.0911,0.906,3.3525,13.05996316,0.390625507,3.7233,5.9486,8.2655,5.4617,7.8577,17.785138,2.4299114000000004,14.379507999999998,31873,32715,3271,21703,27638,28257,40495,33059,39665,23355,12213,10015,16245,15932,76,78,7,52,66,67,97,79,95,55,29,24,38,38,0.11146082595251224,1.1733356143416611,0.8714180256987469,-0.45848500257592617,23708,40817,34843,12013,57,98,84,29,36.00630975570016,38445,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,E01011342,Leeds 060C,Leeds 060C,395408.2780065,3243.0966342522297,1350,1,Leeds 060C,E08000035,Leeds,56.031,1350,1,0.344,1117,1,0.192,3557,2,72.513,629,1,1.149,3164,1,1.856,351,1,20.52,16038,5,23.87,12510,4,0.402,1433,1,0.411,1663,1,1.444,1202,1,0.548,810,1,-0.146,18277,6,1.253,9509,3,0.189,13469,5,0.534,8048,3,1527,494,829,204,820.0,17275,22932,955,1026,19334,11291,120,E,32843,2211,6,7,1,1,6,4,1,1,3.066,3.09225,3.066,1.2875,9.382474627,0.45330149,2.55115,1.005,3.2835,3.5242,3.859,21.295006666666666,2.796262666666667,14.814613333333334,20083,21267,26108,5790,12108,17519,37540,37309,40949,25646,38885,16757,28194,21577,48,50,62,13,29,41,89,89,98,61,93,40,67,51,-0.2682914242465325,0.5384619008906533,1.206995881373381,0.4346428155435659,15715,33083,38001,28633,38,80,92,69,31.124985277655064,35887,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,E01011343,Leeds 061B,Leeds 061B,572308.093041,4428.221099829478,6430,2,Leeds 061B,E08000035,Leeds,33.573,6430,2,0.162,9489,3,0.176,4583,2,36.592,6282,2,0.936,4731,2,1.028,3312,2,12.978,25436,8,19.386,15750,5,0.153,13837,5,0.218,8754,3,0.601,7621,3,0.424,5279,2,-0.072,16929,6,-0.911,20205,7,0.026,16040,5,0.326,10405,4,1781,279,1145,357,1160.25,17385,13578,8458,10510,18264,12650,10136,E,32843,3790,6,5,3,4,6,4,4,2,3.318,4.877,3.318,1.104,14.095,0.432140201,1.302,5.121,7.265,4.842,6.366,16.319156666666668,2.100035666666667,14.163593333333331,21741,29680,27725,4079,25736,21305,40865,30542,36638,22223,14074,11507,19692,31915,52,71,66,9,61,51,97,73,87,53,33,27,47,76,0.007301021124834617,1.0327970012495529,0.6217392727385433,-0.09104156987903936,21437,40021,31838,18659,52,96,77,45,32.312534142779825,36628,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,E01011344,Leeds 065A,Leeds 065A,150542.37499,1933.9810074056315,408,1,Leeds 065A,E08000035,Leeds,66.91,408,1,0.357,914,1,0.229,1936,1,77.968,368,1,1.063,3777,2,2.03,188,1,15.393,22488,7,81.847,4,1,0.442,794,1,0.322,3872,2,2.043,111,1,0.506,1899,1,-1.846,32663,10,1.569,8344,3,2.243,70,1,1.192,2983,1,2043,580,1282,181,1278.5,31383,32018,8458,415,25594,10209,861,E,32843,21785,10,10,3,1,8,4,1,7,1.0299,0.8899,0.8899,1.435,6.277974627,0.158820868,0.5275,0.53,1.6821,0.5375,1.2709,23.64528,2.223378,15.15841,2701,2589,3104,7205,4440,41181,30361,38890,38017,27383,41280,39838,39652,39779,6,6,7,17,10,98,72,93,91,65,98,95,95,95,-1.337596469661917,1.413690693602007,1.0799184481678312,1.8286243251236263,2177,41485,36861,40905,6,100,89,99,54.714823261748215,41565,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,E01011345,Leeds 061C,Leeds 061C,338205.0129165,3152.913427370078,2935,1,Leeds 061C,E08000035,Leeds,45.606,2935,1,0.246,4216,2,0.181,4207,2,50.195,3215,1,1.347,2112,1,1.508,1038,1,13.38,24957,8,32.713,7349,3,0.255,6655,3,0.299,4734,2,1.173,2553,1,0.444,4292,2,-0.651,26247,8,0.552,12536,4,0.444,9953,4,0.969,4364,2,1428,322,787,319,772.25,26925,18894,8458,4678,19711,13274,5064,E,32843,6615,9,6,3,2,7,5,2,3,2.209,1.9365,2.0515,1.7455,14.09516308,0.435570553,0.6725,1.68025,4.811,1.4225,2.30025,16.11524,1.9510650000000005,13.9323,13385,11969,16896,10167,18554,20664,40866,30144,34677,21053,33351,32529,35325,38566,32,28,40,24,44,49,97,72,83,50,79,78,84,92,-0.4205956461637115,1.0137834417294318,0.5197553343390441,1.0162120921476987,12847,39854,30260,36426,31,96,73,88,37.1319132091953,38874,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
