,Rinitials,Cinitials,Codedate,LSOA,IMGid,IMGdate,ADid,ASSETid,Long,Lat,ADtype,ADsize,ADprodtype,ADprod,ADbrand,Brandad,Admanagement,Price£,Pricesourcelink,Unit,Portion,Totalwt,Wtsource,Nutritionsource,Nutsourcelink,Fatdensity,Satfatdensity,Sugardensity,Sodiumdensity,Ekcaldensity,Fibredensity,Proteindensity,FVN,NPMscore,NPMstatus,ADcompliance,...1,Latitude,Longitude,file_path,LSOA_naming,lsoa_code,IMD_Q,LSOA_name
11,IW,IW,17/05/2023,E01011597,IMG_4664,11/05/2023,CF_GLMR_08_03,CF_GLMR_08,NA,NA,4,3,5,Advertising space,Engage Outdoor Media,1,Engage Outdoor Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80284167,-1.699847222,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4664.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
12,IW,IW,17/05/2023,E01011597,IMG_4665,11/05/2023,CF_GLMR_08_04,CF_GLMR_08,NA,NA,4,3,5,Eurovision,BBC,0,Engage Outdoor Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80284167,-1.699844444,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4665.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
13,IW,IW,17/05/2023,E01011597,IMG_4666,11/05/2023,CF_GLMR_08_05,CF_GLMR_08,NA,NA,4,3,1,Basmati Boost Elephant Rice,Elephant Rice,0,Engage Outdoor Media,9.99,https://www.qualityfoodsonline.com/products/elephant-basmati-boost-rice-5kg,g,180,5000,https://elephantatta.com/products/elephant-rice-basmati-boost/,1,https://elephantatta.com/products/elephant-rice-basmati-boost/,0,0,0,0,344,1,9.6,0,-2,0,0,0,53.80283611,-1.699847222,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4666.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
14,IW,IW,17/05/2023,E01011597,IMG_4667,11/05/2023,CF_GLMR_08_06,CF_GLMR_08,NA,NA,4,3,1,"Chakki Gold Elephant Atta, wholemeal wheat flour",Elephant Atta,0,Engage Outdoor Media,3.5,https://www.sainsburys.co.uk/gol-ui/product/elephant-atta-chakki-gold-15kg?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=pprwaqrtx&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqneIs8ksHfQpe7NFsvWdV5HtQZMdZoOd3oW4yb8gIw9oAK0RMO1zOb4aAl_cEALw_wcB&gclsrc=aw.ds,g,NA,1500,https://www.sainsburys.co.uk/gol-ui/product/elephant-atta-chakki-gold-15kg?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=pprwaqrtx&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqneIs8ksHfQpe7NFsvWdV5HtQZMdZoOd3oW4yb8gIw9oAK0RMO1zOb4aAl_cEALw_wcB&gclsrc=aw.ds,1,https://elephantatta.com/products/chakki-gold/,2.4,0.5,0,12,351,8.6,13,0,-6,0,0,0,53.80285,-1.699836111,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4667.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
15,IW,IW,17/05/2023,E01011597,IMG_4670,11/05/2023,CF_GLMR_09_01,CF_GLMR_09,NA,NA,1,2,1,BIG Tasty with Bacon,McDonald's,0,Clear Channel,6.09,https://mcdonalds-menu.co.uk/,g,310,310,SL image Big Tasty with Bacon = 310,2,https://www.mcdonalds.com/gb/en-gb/product/big-tasty-with-bacon.html,15.81,6.13,3.23,477.42,272.58,1.42,16.13,18.9,13,1,1,0,53.80267778,-1.700788889,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4670.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
16,IW,IW,17/05/2023,E01011597,IMG_4671,11/05/2023,CF_GLMR_10_01,CF_GLMR_10,NA,NA,12,1,5,Tiles & Bathrooms,Al-Murad,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.802525,-1.701566667,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4671.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
17,IW,IW,17/05/2023,E01011597,IMG_4682,11/05/2023,CF_GLMR_11_01,CF_GLMR_11,NA,NA,8,3,1,McNuggets,McDonald's,0,Leeds City Council,4.29,https://mcdonalds-menu.co.uk/,g,105,105,"FPS book, pg 58 McDonald's 6 McNuggets",2,https://www.mcdonalds.com/gb/en-gb/product/chicken-mcnuggets-6-pieces.html,12.38,1.43,0.57,217.14,248.57,1.33,14.29,0,0,0,0,0,53.80253889,-1.699636111,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4682.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
18,IW,IW,17/05/2023,E01011597,IMG_4685,11/05/2023,CF_GLMR_12_01,CF_GLMR_12,NA,NA,1,2,3,Strongbow ultra dark fruit cider,Strongbow,0,Clear Channel,4.75,https://www.tesco.com/groceries/en-GB/products/311275711,ml,330,1320,https://www.tesco.com/groceries/en-GB/products/311275711,3,https://www.tesco.com/groceries/en-GB/products/311275711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80283611,-1.698825,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4685.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
19,IW,IW,17/05/2023,E01011597,IMG_E4687,11/05/2023,CF_GLMR_13_01,CF_GLMR_13,NA,NA,1,2,5,Broadband,TalkTalk,0,Clear Channel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80285556,-1.698786111,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_E4687.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
20,IW,IW,17/05/2023,E01011597,IMG_4651,11/05/2023,CF_GLMR_14_01,CF_GLMR_14,NA,NA,14,2,1,Basmati Rice,Slimming world,1,NA,NA,NA,NA,180 (medium),NA,"FPS book, rice pg 74",4,CoFID 11-858,0.7,0.16,0,4,117,0.6,2.8,0,0,0,0,0,53.80223056,-1.690994444,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4651.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
21,IW,IW,17/05/2023,E01011597,IMG_4651,11/05/2023,CF_GLMR_14_01,CF_GLMR_14,NA,NA,14,2,1,Slimming world chicken tikka curry,Slimming world,1,NA,4.25,https://www.iceland.co.uk/p/slimming-world-chicken-tikka-masala-500g/57996.html,g,NA,500,https://www.iceland.co.uk/p/slimming-world-chicken-tikka-masala-500g/57996.html,3,https://www.iceland.co.uk/p/slimming-world-chicken-tikka-masala-500g/57996.html,1.6,0.4,2.5,320,72,1.5,10.7,0,-3,0,0,0,53.80223056,-1.690994444,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4651.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
22,IW,IW,17/05/2023,E01011597,IMG_4677,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,NA,NA,14,2,1,Chips (4 x regular),KFC,0,NA,19.99,advert,g,130,130,"FPS book, pg 94 kentucky regular chips",2,https://www.kfc.co.uk/nutrition-allergens?close,8.46,1,0.15,153.85,192.31,0,2.69,0,2,0,0,0,53.80094444,-1.704027778,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4677.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
23,IW,IW,17/05/2023,E01011597,IMG_4677,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,NA,NA,14,2,2,Pepsi max (2L),KFC,0,NA,19.99,advert,ml,NA,2000,https://www.kfc.co.uk/order-online/choose-your-food?refid=77065039&modeType=ClickAndCollect,2,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqnce1pETBmFoRRby8g3_KezS0CGOKRV7KuRmQD-Vn8Iagb1jFri9lKkaAncUEALw_wcB&gclsrc=aw.ds,0,0,0,0,1,0,0,0,0,0,0,0,53.80094444,-1.704027778,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4677.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
24,IW,IW,17/05/2023,E01011597,IMG_4677,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,NA,NA,14,2,1,Ketchup,KFC,0,NA,19.99,advert,g,30,30,product packacing,2,https://www.kfc.co.uk/nutrition-allergens?close,0.65,0.32,23.54,567.74,129.03,0,1.29,0,12,1,1,0,53.80094444,-1.704027778,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4677.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
25,IW,IW,17/05/2023,E01011597,IMG_4677,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,NA,NA,14,2,1,8 mini chicken fillets,KFC,0,NA,19.99,advert,g,55,440,https://www.kfc.co.uk/order-online/choose-your-food?refid=77065039&modeType=ClickAndCollect,2,https://www.kfc.co.uk/nutrition-allergens?close,10.18,1.09,0.55,625.45,236.36,0,25.09,0,4,1,1,0,53.80094444,-1.704027778,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4677.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
26,IW,IW,17/05/2023,E01011597,IMG_4677,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,NA,NA,14,2,1,Buttermilk mayo dip,KFC,0,NA,19.99,advert,g,30,30,product packacing,2,https://www.kfc.co.uk/nutrition-allergens?close,33.23,2.9,7.74,516.13,354.84,0,0.97,0,12,1,1,0,53.80094444,-1.704027778,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4677.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
27,IW,IW,17/05/2023,E01011597,IMG_4677,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,NA,NA,14,2,1,Spicy supercharger mayo,KFC,0,NA,19.99,advert,g,30,30,product packacing,2,https://www.kfc.co.uk/nutrition-allergens?close,48.39,3.87,7.74,554.84,483.87,0,3.23,0,16,1,1,0,53.80094444,-1.704027778,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4677.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
28,IW,IW,17/05/2023,E01011597,IMG_4677,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,NA,NA,14,2,1,BBQ dip,KFC,0,NA,19.99,advert,g,30,30,product packacing,2,https://www.kfc.co.uk/nutrition-allergens?close,0.65,0.32,32.26,333.48,161.29,0,1.29,0,12,1,1,0,53.80094444,-1.704027778,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4677.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
29,IW,IW,17/05/2023,E01011597,IMG_4677,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,NA,NA,14,2,1,Popcorn chicken (large),KFC,0,NA,19.99,advert,g,NA,137.34,https://www.myfitnesspal.com/food/calories/medium-popcorn-chicken-254g-from-kfc-ca-143339056,2,https://www.kfc.co.uk/nutrition-allergens?close,19.15,1.97,0.22,727.21,338.58,0,20.82,0,13,1,1,0,53.80094444,-1.704027778,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4677.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
30,IW,IW,17/05/2023,E01011597,IMG_4677,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,NA,NA,14,2,1,Corn on the cob (x2),KFC,0,NA,19.99,NA,g,NA,NA,NA,4,CoFID 13-508,1.1,0.15,1.5,0,39,3,2.1,100,-9,0,0,0,53.80094444,-1.704027778,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4677.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
31,IW,IW,17/05/2023,E01011597,IMG_4678,11/05/2023,CF_GLMR_16_01,CF_GLMR_16,NA,NA,14,2,1,Buffalo twister wrap,KFC,0,NA,1.98,advert,g,220,220,SL image mayo twister wrap,2,https://www.kfc.co.uk/nutrition-allergens?close,8,1.23,0.91,274.55,213.64,0,8.6,20.46,1,0,0,0,53.80056111,-1.704161111,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4678.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
32,IW,IW,17/05/2023,E01011597,IMG_4686,11/05/2023,CF_GLMR_17_01,CF_GLMR_17,NA,NA,11,1,5,Honeysuckle cottage,Honeysuckle cottage,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80290278,-1.698830556,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4686.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
33,IW,IW,17/05/2023,E01011597,IMG_4688,11/05/2023,CF_GLMR_18_01,CF_GLMR_18,NA,NA,6,2,5,"Hair, scalp and beauty clinic",Rora,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80439722,-1.693447222,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4688.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
34,IW,IW,17/05/2023,E01011597,IMG_4679,11/05/2023,CF_GLMR_19_01,CF_GLMR_19,NA,NA,14,2,5,Join leasure leagues,leasure leagues,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80036667,-1.700819444,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011597_Q2_GallowayLaneMoorlandRdEderoydCres\IMG_4679.JPG,E01011597_Q2_GallowayLaneMoorlandRdEderoydCres,E01011597,Q2,GallowayLaneMoorlandRdEderoydCres
35,IW,IW,18/05/2023,E01011605,IMG_4694,11/05/2023,PY_WMHL_01_01,PY_WMHL_01,NA,NA,9,1,5,Clean air Leeds,Leeds City Council,0,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.79486389,-1.67655,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011605_Q5_WindmillHill\IMG_4694.JPG,E01011605_Q5_WindmillHill,E01011605,Q5,WindmillHill
36,VJ,VJ,18/05/2023,E01011427,20230518_130912,18/05/2023,GH_EGSW_01_01,GH_EGSW_01,NA,NA,12,1,5,Waste management,The Waste Team,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.8181379,-1.5147955,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011427_Q1_EasterlyGroveStWilfreds\20230518_130912.jpg,E01011427_Q1_EasterlyGroveStWilfreds,E01011427,Q1,EasterlyGroveStWilfreds
37,VJ,VJ,18/05/2023,E01011427,20230518_130944,18/05/2023,GH_EGSW_02_01,GH_EGSW_02,NA,NA,12,1,5,Tiles & Bathrooms,Al-Murad,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.8181295,-1.5148361,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011427_Q1_EasterlyGroveStWilfreds\20230518_130944.jpg,E01011427_Q1_EasterlyGroveStWilfreds,E01011427,Q1,EasterlyGroveStWilfreds
38,VJ,VJ,18/05/2023,E01011427,20230518_131217,18/05/2023,GH_EGSW_03_01,GH_EGSW_03,NA,NA,1,2,1,McDonald's BIG Tasty,McDonald's,0,Clear Channel,5.49,https://mcdonalds-menu.co.uk/,g,290,290,SL image Big Tasty with Bacon = 310 - 20g (1 rasher of streaky bacon FSA portion book pg 54),2,https://www.mcdonalds.com/gb/en-gb/product/big-tasty.html,15.86,6.21,3.45,455,275,1.52,15.52,2,13,1,1,0,53.8174421,-1.5155716,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011427_Q1_EasterlyGroveStWilfreds\20230518_131217.jpg,E01011427_Q1_EasterlyGroveStWilfreds,E01011427,Q1,EasterlyGroveStWilfreds
